1,Panzer Tactics,2007,Strategy,1
2,Boulder Dash: Rocks!,2007,Puzzle,1
3,King's Bounty: Armored Princess,2009,Role-Playing,2
4,World Destruction League: Thunder Tanks,2000,Action,3
5,Learning to Spell,2010,Misc,4
6,Robotics;Notes,2012,Adventure,5
7,WWF War Zone,1998,Fighting,6
8,True Crime: Streets of LA,2003,Action,7
9,Destiny,2014,Shooter,7
10,Super Puyo Puyo,1993,Puzzle,8
11,Rage,2011,Shooter,9
12,Devil May Cry 4,2008,Action,10
13,Dead Rising 2,2010,Action,10
14,Kamaitachi no Yoru,1994,Adventure,11
15,DiRT 2,2009,Racing,12
16,Ben 10: Protector of Earth,2007,Action,13
17,LEGO Pirates of the Caribbean: The Video Game,2011,Action,14
18,Hannah Montana: Music Jam,2007,Action,14
19,LEGO Star Wars: The Video Game,2005,Action,15
20,Fight Night Round 4,2009,Fighting,16
21,Ys: Memories of Celceta,2012,Action,17
22,Bratz Ponyz,2007,Adventure,18
23,I Love Horses,2008,Simulation,19
24,Momotarou Dentetsu 15,2005,Misc,20
25,Super Adventure Island,1992,Platform,20
26,Super Fire ProWrestling,1991,Fighting,21
27,Hyperdevotion Noire: Goddess Black Heart,2014,Role-Playing,22
28,Mercury Meltdown Revolution,2007,Action,23
29,Sam & Max: Season One,2008,Adventure,24
30,Lunar 2: Eternal Blue,1998,Role-Playing,25
31,Jump Start Pet Rescue,2009,Misc,26
32,Yu-Gi-Oh! 5D's Tag Force 4,2009,Strategy,27
33,Jikkyou Powerful Pro Yakyuu 9,2002,Sports,27
34,ATV: Quad Power Racing,2002,Racing,28
35,LEGO Star Wars III: The Clone Wars,2011,Action,29
36,Golden Nugget Casino,2004,Misc,30
37,Corpse Party: Blood Drive,2014,Adventure,31
38,Azurik: Rise of Perathia,2001,Action,32
39,Paperboy,1999,Action,33
40,Minecraft: Story Mode,2015,Adventure,34
41,Tekken Tag Tournament 2,2012,Fighting,35
42,Tales of Xillia 2,2012,Role-Playing,35
43,Langrisser III,1996,Strategy,36
44,Ninja Gaiden 3,2012,Action,37
45,Ar tonelico 2: Melody of Metafalica,2007,Role-Playing,38
46,Fighters Destiny,1998,Fighting,39
47,Frogger,1981,Action,40
48,Seek and Destroy,2002,Racing,41
49,Bookworm,2009,Puzzle,42
50,Plants vs. Zombies,2010,Strategy,42
51,Loving Life with Hello Kitty & Friends,2011,Misc,43
52,Sega Rally Revo,2007,Racing,44
53,Metal Slug 4 & 5,2005,Shooter,45
54,Brave Story: New Traveler (US sales),2006,Role-Playing,46
55,Go! Sudoku (JP sales),2005,Puzzle,46
56,The BIGS,2007,Sports,47
57,Tom Clancy's Splinter Cell: Conviction,2010,Action,48
58,Tom Clancy's Splinter Cell: Chaos Theory,2005,Action,48
59,Green Lantern: Rise of the Manhunters,2011,Action,49
60,Family GameShow,2009,Misc,50
